layer,control,n,logit_rel_percent_median,abs_target_logit_delta_median,kl_median,top1_change_rate
7,random_1,32,0.17304560169577599,0.0,2.1832196580362506e-05,0.0
7,random_2,32,0.17304560169577599,0.0,2.1832196580362506e-05,0.0
7,real,32,0.16696882667019963,0.00390625,1.8715920305112377e-05,0.0
7,unrelated,32,0.15627191169187427,0.0,1.269021140615223e-05,0.0
8,random_0,32,0.24297675117850304,0.0,2.894483259296976e-05,0.0625
8,random_1,32,0.24297675117850304,0.0,2.894483259296976e-05,0.0625
8,random_2,32,0.24297675117850304,0.0,2.894483259296976e-05,0.0625
8,real,32,0.26012591551989317,0.015625,3.855181421386078e-05,0.125
8,unrelated,32,0.2040850929915905,0.0078125,2.5619410735089332e-05,0.0
9,random_0,32,0.5121659487485886,0.015625,0.00010568634752416983,0.0
9,random_1,32,0.5121659487485886,0.015625,0.00010568634752416983,0.0
9,random_2,32,0.5121659487485886,0.015625,0.00010568634752416983,0.0
9,real,32,0.617948779836297,0.015625,0.00016405682254116982,0.0625
9,unrelated,32,0.5022083409130573,0.015625,0.00011209488002350554,0.03125
10,random_0,32,0.799423735588789,0.015625,0.00020442306413315237,0.03125
10,random_1,32,0.799423735588789,0.015625,0.00020442306413315237,0.03125
10,random_2,32,0.799423735588789,0.015625,0.00020442306413315237,0.03125
10,real,32,1.1871958151459694,0.03125,0.000646097119897604,0.15625
10,unrelated,32,0.556405819952488,0.015625,0.0002329805283807218,0.0
11,random_0,32,0.8492514491081238,0.03125,0.0004445294907782227,0.03125
11,random_1,32,0.8492514491081238,0.03125,0.0004445294907782227,0.03125
11,random_2,32,0.8492514491081238,0.03125,0.0004445294907782227,0.03125
11,real,32,0.6284781266003847,0.015625,0.00022035682923160493,0.0
11,unrelated,32,0.4273742903023958,0.015625,0.00012701972445938736,0.0
12,random_0,32,1.4029490761458874,0.046875,0.000919237791094929,0.0625
12,random_1,32,1.4029490761458874,0.046875,0.000919237791094929,0.0625
12,random_2,32,1.4029490761458874,0.046875,0.000919237791094929,0.0625
12,real,32,1.0547414422035217,0.03125,0.0009464667527936399,0.0625
12,unrelated,32,3.7717584520578384,0.109375,0.00877721980214119,0.1875
13,random_0,32,2.639671042561531,0.046875,0.002523795934394002,0.0625
13,random_1,32,2.639671042561531,0.046875,0.002523795934394002,0.0625
13,random_2,32,2.639671042561531,0.046875,0.002523795934394002,0.0625
13,real,32,2.1957971155643463,0.0390625,0.001503977458924055,0.0
13,unrelated,32,2.7289677411317825,0.078125,0.002251484664157033,0.03125
14,random_0,32,0.4547062795609236,0.015625,7.010312401689589e-05,0.03125
14,random_1,32,0.4547062795609236,0.015625,7.010312401689589e-05,0.03125
14,random_2,32,0.4547062795609236,0.015625,7.010312401689589e-05,0.03125
14,real,32,0.5435481201857328,0.03125,0.0001251157809747383,0.125
14,unrelated,32,0.48377420753240585,0.0234375,0.00018485657346900553,0.0625
15,random_0,32,4.461392015218735,0.0859375,0.011693664826452732,0.1875
15,random_1,32,4.461392015218735,0.0859375,0.011693664826452732,0.1875
15,random_2,32,4.461392015218735,0.0859375,0.011693664826452732,0.1875
15,real,32,7.958581298589706,0.34375,0.17812417447566986,0.3125
15,unrelated,32,2.8676357120275497,0.03125,0.00481006782501936,0.0625
16,random_0,32,0.5684213247150183,0.03125,0.0004120003723073751,0.09375
16,random_1,32,0.5684213247150183,0.03125,0.0004120003723073751,0.09375
16,random_2,32,0.5684213247150183,0.03125,0.0004120003723073751,0.09375
16,real,32,0.7033189758658409,0.03125,0.0014431606978178024,0.15625
16,unrelated,32,0.307272607460618,0.015625,0.00014671355893369764,0.0
17,random_0,32,1.0237199254333973,0.015625,0.0004704501188825816,0.0
17,random_1,32,1.0237199254333973,0.015625,0.0004704501188825816,0.0
17,random_2,32,1.0237199254333973,0.015625,0.0004704501188825816,0.0
17,real,32,1.4017646200954914,0.03125,0.0014655730919912457,0.03125
17,unrelated,32,0.7463621441274881,0.015625,0.0001782012259354815,0.03125
18,random_0,32,0.16468141693621874,0.0,1.7488373487140052e-05,0.0
18,random_1,32,0.16468141693621874,0.0,1.7488373487140052e-05,0.0
18,random_2,32,0.16468141693621874,0.0,1.7488373487140052e-05,0.0
18,real,32,0.17276870785281062,0.0,2.018497252720408e-05,0.0
18,unrelated,32,0.16697398386895657,0.0,2.294745900144335e-05,0.0
19,random_0,32,0.16135957557708025,0.0,1.4855482731945813e-05,0.0
19,random_1,32,0.16135957557708025,0.0,1.4855482731945813e-05,0.0
19,random_2,32,0.16135957557708025,0.0,1.4855482731945813e-05,0.0
